titulo,url
Your account,https://account.bbc.com/account?lang=en-GB&ptrt=https%3A%2F%2Fwww.bbc.com%2Fsport%2Ffootball&userOrigin=SPORT_GNL
Football,https://www.bbc.com/sport/football
American Football,https://www.bbc.com/sport/american-football
Scores & Fixtures,https://www.bbc.com/sport/football/scores-fixtures
Tables,https://www.bbc.com/sport/football/tables
Gossip,https://www.bbc.com/sport/football/gossip
Transfers,https://www.bbc.com/sport/football/transfers
Top Scorers,https://www.bbc.com/sport/football/premier-league/top-scorers
Women,https://www.bbc.com/sport/football/womens
European,https://www.bbc.com/sport/football/european
All Teams,https://www.bbc.com/sport/football/teams
Leagues & Cups,https://www.bbc.com/sport/football/leagues-cups
Quizzes,https://www.bbc.com/sport/football-quizzes
"Live.ÂWatch: Chelsea leading against Man City, Man Utd ahead v Arsenal",https://www.bbc.com/sport/football/live/cp37n74026yt
Women's Football,https://www.bbc.com/sport/football/womens
"Live.ÂChampions League: Salah starts for Liverpool, Chelsea & Newcastle also in action",https://www.bbc.com/sport/football/live/cx2d4mnl02nt
Live.ÂChampionship: Southampton lead Sheff Utd; Boro aim to go back second,https://www.bbc.com/sport/football/live/c3v170w3pwvt
Championship,https://www.bbc.com/sport/football/championship
Palace striker Mateta tells club he wants to leave,https://www.bbc.com/sport/football/articles/c62wn91w5geo
Crystal Palace,https://www.bbc.com/sport/football/teams/crystal-palace
1111,https://www.bbc.com/sport/football/articles/c62wn91w5geo#comments
Women's Club World Cup schedule could be 'catastrophic' for WSL,https://www.bbc.com/sport/football/articles/czx1p5pvnxro
303,https://www.bbc.com/sport/football/articles/czx1p5pvnxro#comments
"Spurs, Arsenal or Newcastle - which teams have had most injuries?",https://www.bbc.com/sport/football/articles/c70l9y3p893o
Premier League,https://www.bbc.com/sport/football/premier-league
Man City squad to refund ticket costs for fans,https://www.bbc.com/sport/football/articles/c4gwp79rdz7o
Man City,https://www.bbc.com/sport/football/teams/manchester-city
809,https://www.bbc.com/sport/football/articles/c4gwp79rdz7o#comments
Villa's injury woes worsen as McGinn set for spell out,https://www.bbc.com/sport/football/articles/cdren103ye2o
80,https://www.bbc.com/sport/football/articles/cdren103ye2o#comments
'No desire' for World Cup boycott over Greenland,https://www.bbc.com/sport/football/articles/cly3dedz10go
World Cup,https://www.bbc.com/sport/football/world-cup
Galatasaray fight back to draw with Atletico Madrid,https://www.bbc.com/sport/football/live/c78enx52rvvt
European Football,https://www.bbc.com/sport/football/european
0,https://www.bbc.com/sport/football/live/c78enx52rvvt#comments
What we learned from Afcon 2025,https://www.bbc.com/sport/football/articles/c620nnj0z8lo
"'Everything Spurs do ends up feeling like disappointment' Video, 00:02:18'Everything Spurs do ends up feeling like disappointment'",https://www.bbc.com/sport/football/videos/c5y397rvvyro
Tottenham,https://www.bbc.com/sport/football/teams/tottenham-hotspur
"'We had a good conversation' - Frank on Tottenham board support. Video, 00:01:14'We had a good conversation' - Frank on Tottenham board support",https://www.bbc.com/sport/football/videos/c0lx7yl8z9go
"I'll be happy to have Salah back - Slot. Video, 00:00:30I'll be happy to have Salah back - Slot",https://www.bbc.com/sport/football/videos/cqxygv5y9n2o
Egypt,https://www.bbc.com/sport/football/teams/egypt
"What will Carrick's Man Utd look like? Video, 00:03:09What will Carrick's Man Utd look like?",https://www.bbc.com/sport/football/videos/crlezjxe8jeo
"'He knows what he wants' - Chalobah on new manager Rosenior. Video, 00:01:14'He knows what he wants' - Chalobah on new manager Rosenior",https://www.bbc.com/sport/football/videos/cy9yxwd4p8no
Which countries are set to win extra Champions League places?,https://www.bbc.com/sport/football/articles/cp3vl0z24yeo
Marseille agree loan deal for Arsenal's Nwaneri,https://www.bbc.com/sport/football/articles/cx2kd5j5xm7o
190,https://www.bbc.com/sport/football/articles/cx2kd5j5xm7o#comments
Bournemouth close on Â£30.6m move for Brazilian striker Rayan,https://www.bbc.com/sport/football/articles/c3ve1y4vqyno
Bournemouth,https://www.bbc.com/sport/football/teams/afc-bournemouth
187,https://www.bbc.com/sport/football/articles/c3ve1y4vqyno#comments
'Good signs' or just buying time? Spurs remain divided on Frank future,https://www.bbc.com/sport/football/articles/cj4lqy2np2zo
846,https://www.bbc.com/sport/football/articles/cj4lqy2np2zo#comments
US opens priority visa appointment system for World Cup,https://www.bbc.com/sport/football/articles/cr4kwv1qyx5o
Live.ÂListen: Non-league commentaries,https://www.bbc.com/sport/football/live/cwywpl32wp7t
National League,https://www.bbc.com/sport/football/national-league
'Tears in my eyes' - Jesus enjoys 'dream night' in San Siro,https://www.bbc.com/sport/football/articles/cwy1wr2xryxo
Arsenal,https://www.bbc.com/sport/football/teams/arsenal
402,https://www.bbc.com/sport/football/articles/cwy1wr2xryxo#comments
Rangers' opponents Stranraer face cup expulsion,https://www.bbc.com/sport/football/articles/c1klpx4ggl7o
Scottish Cup,https://www.bbc.com/sport/football/scottish-cup
Hearts working on signings after Mendy bid rejected,https://www.bbc.com/sport/football/articles/cp809rrwdxxo
Scottish Prem,https://www.bbc.com/sport/football/scottish-premiership
PSG stunned as Suarez lands late Sporting winner,https://www.bbc.com/sport/football/live/czjgmg83gw3t
4,https://www.bbc.com/sport/football/live/czjgmg83gw3t#comments
Livi boss brands VAR 'amateur' after late St Mirren equaliser,https://www.bbc.com/sport/football/live/cdjne20k3dkt
UEFA Champions LeagueFull timeFTGalatasarayGalatasaray1AtlÃ©ticoAtletico Madrid1,https://www.bbc.com/sport/football/live/c78enx52rvvt
UEFA Champions LeagueFull timeFTQarabaÄQarabaÄ3FrankfurtEintracht Frankfurt2,https://www.bbc.com/sport/football/live/cz6y9plqzp2t
UEFA Champions LeagueAtalantaAtalantaplaysAthleticAthletic Clubat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c9qpnj78rj9t
UEFA Champions LeagueBayern MunichBayern MunichplaysR. Union SGUnion Saint-Gilloiseat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c0mk41vd3nyt
UEFA Champions LeagueChelseaChelseaplaysPafosPafosat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/cly1dkxmpxdt
UEFA Champions LeagueJuventusJuventusplaysBenficaBenficaat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c62vlezpj3mt
UEFA Champions LeagueMarseilleMarseilleplaysLiverpoolLiverpoolat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c1evdzlw21nt
UEFA Champions LeagueNewcastleNewcastle UnitedplaysPSVPSVat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/cdxjqn917n5t
UEFA Champions LeagueSlavia PragueSlavia PragueplaysBarcelonaBarcelonaat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c7018qe2g4et
Champions League quiz: Name every city to host a final,https://www.bbc.com/sport/football/articles/c7v0871l89po
Salford pip Swindon in cup thriller to set up Man City trip,https://www.bbc.com/sport/football/live/c368ey42lept
FA Cup,https://www.bbc.com/sport/football/fa-cup
3,https://www.bbc.com/sport/football/live/c368ey42lept#comments
BBC to show St Mirren & Falkirk Scottish Cup ties,https://www.bbc.com/sport/football/articles/c701rywe1v1o
In-form Hull City hammer play-off rivals Preston,https://www.bbc.com/sport/football/live/cz0pypjl8egt
21,https://www.bbc.com/sport/football/live/cz0pypjl8egt#comments
The day I discovered the Everton contract Revie never signed,https://www.bbc.com/sport/football/articles/cy8yp1nqd21o
610,https://www.bbc.com/sport/football/articles/cy8yp1nqd21o#comments
Aberdeen in latter stages of manager search,https://www.bbc.com/sport/football/articles/c2lgvy14z81o
Aberdeen,https://www.bbc.com/sport/football/teams/aberdeen
Why Iraola's Bournemouth future is uncertain,https://www.bbc.com/sport/football/articles/ckgklrne80vo
484,https://www.bbc.com/sport/football/articles/ckgklrne80vo#comments
View more,https://www.bbc.com/sport/football/womens-european-championship
Sign up,https://cloud.email.bbc.com/FootballExtra_Newsletter_Signup?&at_bbc_team=studios&at_medium=Onsite&at_objective=acquisition&at_ptr_name=bbc.com&at_link_origin=sportarticle&at_campaign=footballextra&at_campaign_type=owned
"Football in Greenland: The 'toughest' championship in the world? Video, 00:05:59Football in Greenland: The 'toughest' championship in the world?",https://www.bbc.com/sport/football/videos/c87y0e5l8v2o
"The stunning football pitches hiding in the Arctic Circle. Video, 00:04:56The stunning football pitches hiding in the Arctic Circle",https://www.bbc.com/sport/football/videos/c8612q6jdlyo
"How does British football food rate with European fans? Video, 00:01:39How does British football food rate with European fans?",https://www.bbc.com/sport/football/videos/ce3lypzvzk7o
"Inside the $5bn World Cup stadium in California. Video, 00:02:49Inside the $5bn World Cup stadium in California",https://www.bbc.com/sport/football/videos/cpwd35e558eo
"How fans in Sweden said 'no' to VAR. Video, 00:04:00How fans in Sweden said 'no' to VAR",https://www.bbc.com/sport/football/videos/c6pyp32n198o
Browse teams,https://www.bbc.com/sport/football/teams
"Carrick would bring spirit of Man Utd back - Rooney. Video, 00:02:41Carrick would bring spirit of Man Utd back - Rooney",https://www.bbc.com/sport/football/videos/cp82d6901v9o
Man Utd,https://www.bbc.com/sport/football/teams/manchester-united
"Top four or FA Cup? - Rogers on his Villa ambitions. Video, 00:01:12Top four or FA Cup? - Rogers on his Villa ambitions",https://www.bbc.com/sport/football/videos/c8d043d5jpqo
Aston Villa,https://www.bbc.com/sport/football/teams/aston-villa
"I've worked so hard for this opportunity - Rosenior. Video, 00:01:50I've worked so hard for this opportunity - Rosenior",https://www.bbc.com/sport/football/videos/c1wz0ve8xqdo
"The best years are to come - Guardiola on signing 'extraordinary' Semenyo. Video, 00:01:27The best years are to come - Guardiola on signing 'extraordinary' Semenyo",https://www.bbc.com/sport/football/videos/cdxj2wldzvlo
