titulo,url,longitud_titulo
Your account,https://account.bbc.com/account?lang=en-GB&ptrt=https%3A%2F%2Fwww.bbc.com%2Fsport%2Ffootball&userOrigin=SPORT_GNL,12
Football,https://www.bbc.com/sport/football,8
American Football,https://www.bbc.com/sport/american-football,17
Scores & Fixtures,https://www.bbc.com/sport/football/scores-fixtures,17
Tables,https://www.bbc.com/sport/football/tables,6
Gossip,https://www.bbc.com/sport/football/gossip,6
Transfers,https://www.bbc.com/sport/football/transfers,9
Top Scorers,https://www.bbc.com/sport/football/premier-league/top-scorers,11
Women,https://www.bbc.com/sport/football/womens,5
European,https://www.bbc.com/sport/football/european,8
All Teams,https://www.bbc.com/sport/football/teams,9
Leagues & Cups,https://www.bbc.com/sport/football/leagues-cups,14
Quizzes,https://www.bbc.com/sport/football-quizzes,7
"Live.ÂWatch: Chelsea leading against Man City, Man Utd ahead v Arsenal",https://www.bbc.com/sport/football/live/cp37n74026yt,70
Women's Football,https://www.bbc.com/sport/football/womens,16
"Live.ÂChampions League: Salah starts for Liverpool, Chelsea & Newcastle also in action",https://www.bbc.com/sport/football/live/cx2d4mnl02nt,86
Live.ÂChampionship: Southampton lead Sheff Utd; Boro aim to go back second,https://www.bbc.com/sport/football/live/c3v170w3pwvt,74
Championship,https://www.bbc.com/sport/football/championship,12
Palace striker Mateta tells club he wants to leave,https://www.bbc.com/sport/football/articles/c62wn91w5geo,50
Crystal Palace,https://www.bbc.com/sport/football/teams/crystal-palace,14
1111,https://www.bbc.com/sport/football/articles/c62wn91w5geo#comments,4
Women's Club World Cup schedule could be 'catastrophic' for WSL,https://www.bbc.com/sport/football/articles/czx1p5pvnxro,63
303,https://www.bbc.com/sport/football/articles/czx1p5pvnxro#comments,3
"Spurs, Arsenal or Newcastle - which teams have had most injuries?",https://www.bbc.com/sport/football/articles/c70l9y3p893o,65
Premier League,https://www.bbc.com/sport/football/premier-league,14
Man City squad to refund ticket costs for fans,https://www.bbc.com/sport/football/articles/c4gwp79rdz7o,46
Man City,https://www.bbc.com/sport/football/teams/manchester-city,8
809,https://www.bbc.com/sport/football/articles/c4gwp79rdz7o#comments,3
Villa's injury woes worsen as McGinn set for spell out,https://www.bbc.com/sport/football/articles/cdren103ye2o,54
80,https://www.bbc.com/sport/football/articles/cdren103ye2o#comments,2
'No desire' for World Cup boycott over Greenland,https://www.bbc.com/sport/football/articles/cly3dedz10go,48
World Cup,https://www.bbc.com/sport/football/world-cup,9
Galatasaray fight back to draw with Atletico Madrid,https://www.bbc.com/sport/football/live/c78enx52rvvt,51
European Football,https://www.bbc.com/sport/football/european,17
0,https://www.bbc.com/sport/football/live/c78enx52rvvt#comments,1
What we learned from Afcon 2025,https://www.bbc.com/sport/football/articles/c620nnj0z8lo,31
"'Everything Spurs do ends up feeling like disappointment' Video, 00:02:18'Everything Spurs do ends up feeling like disappointment'",https://www.bbc.com/sport/football/videos/c5y397rvvyro,130
Tottenham,https://www.bbc.com/sport/football/teams/tottenham-hotspur,9
"'We had a good conversation' - Frank on Tottenham board support. Video, 00:01:14'We had a good conversation' - Frank on Tottenham board support",https://www.bbc.com/sport/football/videos/c0lx7yl8z9go,143
"I'll be happy to have Salah back - Slot. Video, 00:00:30I'll be happy to have Salah back - Slot",https://www.bbc.com/sport/football/videos/cqxygv5y9n2o,95
Egypt,https://www.bbc.com/sport/football/teams/egypt,5
"What will Carrick's Man Utd look like? Video, 00:03:09What will Carrick's Man Utd look like?",https://www.bbc.com/sport/football/videos/crlezjxe8jeo,92
"'He knows what he wants' - Chalobah on new manager Rosenior. Video, 00:01:14'He knows what he wants' - Chalobah on new manager Rosenior",https://www.bbc.com/sport/football/videos/cy9yxwd4p8no,135
Which countries are set to win extra Champions League places?,https://www.bbc.com/sport/football/articles/cp3vl0z24yeo,61
Marseille agree loan deal for Arsenal's Nwaneri,https://www.bbc.com/sport/football/articles/cx2kd5j5xm7o,47
190,https://www.bbc.com/sport/football/articles/cx2kd5j5xm7o#comments,3
Bournemouth close on Â£30.6m move for Brazilian striker Rayan,https://www.bbc.com/sport/football/articles/c3ve1y4vqyno,61
Bournemouth,https://www.bbc.com/sport/football/teams/afc-bournemouth,11
187,https://www.bbc.com/sport/football/articles/c3ve1y4vqyno#comments,3
'Good signs' or just buying time? Spurs remain divided on Frank future,https://www.bbc.com/sport/football/articles/cj4lqy2np2zo,70
846,https://www.bbc.com/sport/football/articles/cj4lqy2np2zo#comments,3
US opens priority visa appointment system for World Cup,https://www.bbc.com/sport/football/articles/cr4kwv1qyx5o,55
Live.ÂListen: Non-league commentaries,https://www.bbc.com/sport/football/live/cwywpl32wp7t,37
National League,https://www.bbc.com/sport/football/national-league,15
'Tears in my eyes' - Jesus enjoys 'dream night' in San Siro,https://www.bbc.com/sport/football/articles/cwy1wr2xryxo,59
Arsenal,https://www.bbc.com/sport/football/teams/arsenal,7
402,https://www.bbc.com/sport/football/articles/cwy1wr2xryxo#comments,3
Rangers' opponents Stranraer face cup expulsion,https://www.bbc.com/sport/football/articles/c1klpx4ggl7o,47
Scottish Cup,https://www.bbc.com/sport/football/scottish-cup,12
Hearts working on signings after Mendy bid rejected,https://www.bbc.com/sport/football/articles/cp809rrwdxxo,51
Scottish Prem,https://www.bbc.com/sport/football/scottish-premiership,13
PSG stunned as Suarez lands late Sporting winner,https://www.bbc.com/sport/football/live/czjgmg83gw3t,48
4,https://www.bbc.com/sport/football/live/czjgmg83gw3t#comments,1
Livi boss brands VAR 'amateur' after late St Mirren equaliser,https://www.bbc.com/sport/football/live/cdjne20k3dkt,61
UEFA Champions LeagueFull timeFTGalatasarayGalatasaray1AtlÃ©ticoAtletico Madrid1,https://www.bbc.com/sport/football/live/c78enx52rvvt,80
UEFA Champions LeagueFull timeFTQarabaÄQarabaÄ3FrankfurtEintracht Frankfurt2,https://www.bbc.com/sport/football/live/cz6y9plqzp2t,78
UEFA Champions LeagueAtalantaAtalantaplaysAthleticAthletic Clubat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c9qpnj78rj9t,90
UEFA Champions LeagueBayern MunichBayern MunichplaysR. Union SGUnion Saint-Gilloiseat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c0mk41vd3nyt,110
UEFA Champions LeagueChelseaChelseaplaysPafosPafosat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/cly1dkxmpxdt,77
UEFA Champions LeagueJuventusJuventusplaysBenficaBenficaat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c62vlezpj3mt,83
UEFA Champions LeagueMarseilleMarseilleplaysLiverpoolLiverpoolat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c1evdzlw21nt,89
UEFA Champions LeagueNewcastleNewcastle UnitedplaysPSVPSVat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/cdxjqn917n5t,84
UEFA Champions LeagueSlavia PragueSlavia PragueplaysBarcelonaBarcelonaat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c7018qe2g4et,97
Champions League quiz: Name every city to host a final,https://www.bbc.com/sport/football/articles/c7v0871l89po,54
Salford pip Swindon in cup thriller to set up Man City trip,https://www.bbc.com/sport/football/live/c368ey42lept,59
FA Cup,https://www.bbc.com/sport/football/fa-cup,6
3,https://www.bbc.com/sport/football/live/c368ey42lept#comments,1
BBC to show St Mirren & Falkirk Scottish Cup ties,https://www.bbc.com/sport/football/articles/c701rywe1v1o,49
In-form Hull City hammer play-off rivals Preston,https://www.bbc.com/sport/football/live/cz0pypjl8egt,48
21,https://www.bbc.com/sport/football/live/cz0pypjl8egt#comments,2
The day I discovered the Everton contract Revie never signed,https://www.bbc.com/sport/football/articles/cy8yp1nqd21o,60
610,https://www.bbc.com/sport/football/articles/cy8yp1nqd21o#comments,3
Aberdeen in latter stages of manager search,https://www.bbc.com/sport/football/articles/c2lgvy14z81o,43
Aberdeen,https://www.bbc.com/sport/football/teams/aberdeen,8
Why Iraola's Bournemouth future is uncertain,https://www.bbc.com/sport/football/articles/ckgklrne80vo,44
484,https://www.bbc.com/sport/football/articles/ckgklrne80vo#comments,3
View more,https://www.bbc.com/sport/football/womens-european-championship,9
Sign up,https://cloud.email.bbc.com/FootballExtra_Newsletter_Signup?&at_bbc_team=studios&at_medium=Onsite&at_objective=acquisition&at_ptr_name=bbc.com&at_link_origin=sportarticle&at_campaign=footballextra&at_campaign_type=owned,7
"Football in Greenland: The 'toughest' championship in the world? Video, 00:05:59Football in Greenland: The 'toughest' championship in the world?",https://www.bbc.com/sport/football/videos/c87y0e5l8v2o,144
"The stunning football pitches hiding in the Arctic Circle. Video, 00:04:56The stunning football pitches hiding in the Arctic Circle",https://www.bbc.com/sport/football/videos/c8612q6jdlyo,131
"How does British football food rate with European fans? Video, 00:01:39How does British football food rate with European fans?",https://www.bbc.com/sport/football/videos/ce3lypzvzk7o,126
"Inside the $5bn World Cup stadium in California. Video, 00:02:49Inside the $5bn World Cup stadium in California",https://www.bbc.com/sport/football/videos/cpwd35e558eo,111
"How fans in Sweden said 'no' to VAR. Video, 00:04:00How fans in Sweden said 'no' to VAR",https://www.bbc.com/sport/football/videos/c6pyp32n198o,87
Browse teams,https://www.bbc.com/sport/football/teams,12
"Carrick would bring spirit of Man Utd back - Rooney. Video, 00:02:41Carrick would bring spirit of Man Utd back - Rooney",https://www.bbc.com/sport/football/videos/cp82d6901v9o,119
Man Utd,https://www.bbc.com/sport/football/teams/manchester-united,7
"Top four or FA Cup? - Rogers on his Villa ambitions. Video, 00:01:12Top four or FA Cup? - Rogers on his Villa ambitions",https://www.bbc.com/sport/football/videos/c8d043d5jpqo,119
Aston Villa,https://www.bbc.com/sport/football/teams/aston-villa,11
"I've worked so hard for this opportunity - Rosenior. Video, 00:01:50I've worked so hard for this opportunity - Rosenior",https://www.bbc.com/sport/football/videos/c1wz0ve8xqdo,119
"The best years are to come - Guardiola on signing 'extraordinary' Semenyo. Video, 00:01:27The best years are to come - Guardiola on signing 'extraordinary' Semenyo",https://www.bbc.com/sport/football/videos/cdxj2wldzvlo,163
"'Hugely disappointing' - Moyes on Keane red card appeal rejection. Video, 00:01:48'Hugely disappointing' - Moyes on Keane red card appeal rejection",https://www.bbc.com/sport/football/videos/cyv5ez35evlo,147
The great number nine decline - where have England's strikers gone?,https://www.bbc.com/sport/football/articles/cx2018n9dx5o,67
England Men,https://www.bbc.com/sport/football/teams/england,11
1462,https://www.bbc.com/sport/football/articles/cx2018n9dx5o#comments,4
"Captain, player, manager, Mister, number one - Davids at Barnet",https://www.bbc.com/sport/football/articles/cx2045vgx4qo,63
Barnet,https://www.bbc.com/sport/football/teams/barnet,6
From farming village to Liverpool icon - the Salah story,https://www.bbc.com/sport/football/articles/cx2xlk74llno,56
855,https://www.bbc.com/sport/football/articles/cx2xlk74llno#comments,3
Napoli 'smell blood' & target Premier League's discarded stars,https://www.bbc.com/sport/football/articles/cy5w4qzygzlo,62
355,https://www.bbc.com/sport/football/articles/cy5w4qzygzlo#comments,3
When River Plate icon Diaz took over fourth-tier Oxford,https://www.bbc.com/sport/football/articles/ce8dj443v5yo,55
Oxford Utd,https://www.bbc.com/sport/football/teams/oxford-united,10
East meets west London - the mentor who changed Chelsea,https://www.bbc.com/sport/football/articles/c134587zl01o,55
Chelsea,https://www.bbc.com/sport/football/teams/chelsea,7
The air crash and the underdogs - a triumph for a lost generation,https://www.bbc.com/sport/football/articles/czrgm6grxvlo,65
Is a Panenka ever the right choice for a penalty?,https://www.bbc.com/sport/football/articles/c3edp0yl57xo,49
887,https://www.bbc.com/sport/football/articles/c3edp0yl57xo#comments,3
'Shameful' and 'terrible look' - the chaos that marred Senegal's Afcon triumph,https://www.bbc.com/sport/football/articles/c70ljednyl6o,78
4172,https://www.bbc.com/sport/football/articles/c70ljednyl6o#comments,4
'Arsenal will never forgive themselves if they don't win title now',https://www.bbc.com/sport/football/articles/cm24736mrm7o,67
"'Results, results' - how Guardiola outlasted five Man Utd bosses",https://www.bbc.com/sport/football/articles/crkrznz15lro,64
1210,https://www.bbc.com/sport/football/articles/crkrznz15lro#comments,4
Can January signings play in the Champions League?,https://www.bbc.com/sport/football/articles/c78vznp3xw4o,50
How much has Guardiola spent on defenders at Man City?,https://www.bbc.com/sport/football/articles/c70170xnpzvo,54
What is it like to be a caretaker manager?,https://www.bbc.com/sport/football/articles/cx2w783d9ezo,42
Who is Manchester City debutant Max Alleyne?,https://www.bbc.com/sport/football/articles/c78vw963gp6o,44
Why is there no VAR in the FA Cup third and fourth round?,https://www.bbc.com/sport/football/articles/c041zkrknvlo,57
More European football,https://www.bbc.com/sport/football/european,22
'I'm to blame' - Real Madrid stunned by Albacete in Arbeloa's first game,https://www.bbc.com/sport/football/live/cy8pe7x2ekvt,72
597,https://www.bbc.com/sport/football/live/cy8pe7x2ekvt#comments,3
Roma sign forward Malen from Aston Villa,https://www.bbc.com/sport/football/articles/c4g0ey1m8v9o,40
Who will Crystal Palace face in Conference League play-off?,https://www.bbc.com/sport/football/articles/ckgly6ydywyo,59
Bayern's record-breaking Bundesliga season in numbers,https://www.bbc.com/sport/football/articles/cd9e7x5dndgo,53
"'If Flick hadn't come, I would have left Barca' - Raphinha",https://www.bbc.com/sport/football/articles/crmlk8zgrzyo,58
Tottenham sign Gallagher from Atletico for Â£35m,https://www.bbc.com/sport/football/articles/cddgzj33r2lo,48
1070,https://www.bbc.com/sport/football/articles/cddgzj33r2lo#comments,4
View more,https://www.bbc.com/sport/football/european,9
Sparta star to Gladbach outcast - what will Celtic get with Cvancara?,https://www.bbc.com/sport/football/articles/c4gr4yj09dpo,69
Celtic,https://www.bbc.com/sport/football/teams/celtic,6
Bologna's Ferguson seeks first win over Celtic,https://www.bbc.com/sport/football/articles/cdren830zgro,46
Rohl 'knocking on door' for more Rangers signings,https://www.bbc.com/sport/football/live/c9wxd2xqwe7t,49
Rangers,https://www.bbc.com/sport/football/teams/rangers,7
Rangers' opponents Stranraer face Scottish Cup expulsion,https://www.bbc.com/sport/football/articles/c1klpx4ggl7o,56
